"","lagoslakeid","nh4","no2no3","tn","nh4_detectionlimit","no2no3_detectionlimit","tn_detectionlimit","sampleyear","samplemonth","tkn","tkn_detectionlimit","hu8_baseflow","hu8_no3depo","hu8_totalndepo","hu8_runoff","urban","rowcrop","pasture","forest","wetland","openh20","lake_area","maxdepth","lakeconnection","la_wa_ratio"
"29",81,11,5,275,25.8,25.8,20,2007,9,NA,NA,48.9907,12.9903,4.5675,18.33,1.95,0.28,1.56,90.27,3.47,0.86,501.079046,5.9,"DR_LakeStream",0.0487812901460655
"30",90,7,10,430.2,NA,NA,NA,1994,8,NA,NA,54.0445,10.5188,5.0007,12.2295,2.54,0.16,0,76.14,17.22,0.39,44.47887701,NA,"DR_LakeStream",0.0233866494646506
"31",90,11,10,674,NA,NA,NA,1992,7,NA,NA,54.0445,10.5188,5.0007,12.2295,2.54,0.16,0,76.14,17.22,0.39,44.47887701,NA,"DR_LakeStream",0.0233866494646506
"32",90,6,10,590,NA,NA,NA,1995,8,NA,NA,54.0445,10.5188,5.0007,12.2295,2.54,0.16,0,76.14,17.22,0.39,44.47887701,NA,"DR_LakeStream",0.0233866494646506
"33",91,908,14,2290,10,16,60,2007,8,NA,NA,51.999,10.6231,3.572,26.8051,NA,NA,NA,NA,NA,NA,1.857185403,NA,"DR_Stream",NA
"34",93,6,4,303,NA,NA,NA,1991,9,NA,NA,53.4963,8.1166,3.895,10.858,0,0,0,63.56,18.45,4.3,23.94252084,NA,"Headwater",0.150141147072537
"35",114,2,4,387,NA,NA,NA,1991,7,NA,NA,53.4963,8.1166,3.895,10.858,8.11,0,0,23.87,53.6,4.5,5.327362391,NA,"Isolated",0.268860541460409
"36",131,20,410,NA,NA,NA,NA,1992,7,1820,NA,52.7149,8.5815,4.6585,4.5614,6.26,54.4,14.35,15.3,3.66,0.79,1191.026314,20,"DR_LakeStream",0.16905961464747
"37",146,10,4,1030,NA,NA,NA,1991,7,NA,NA,55.3571,8.282,4.154,6.7402,4.79,0,0,76.34,3.1,13.52,15.04746147,NA,"Isolated",0.467329789257254
"38",150,18,13,NA,NA,NA,NA,2006,8,846,NA,26.6501,16.7453,6.9016,14.2795,2.74,2.84,6.87,79.84,0.02,0.84,596.4977438,8.5,"DR_LakeStream",0.0353181499221358
"39",160,1390,80,NA,NA,NA,NA,1996,8,3160,NA,52.7149,8.5815,4.6585,4.5614,11.75,36.22,9.83,19.27,9.06,8.67,53.6537707,NA,"Isolated",1.14356091919259
"40",163,20,50,NA,NA,NA,NA,1997,8,440,NA,49.8772,8.7713,4.863,4.2619,5.19,0,12.1,59.25,8.89,2.96,19.84528359,22.63,"Isolated",0.540300880463938
"41",164,6,5,580,NA,NA,NA,1996,9,NA,NA,55.7659,7.999,3.9836,8.423,2.17,0,0,90.73,1.33,1.33,7.310850358,NA,"Isolated",0.097450682265678
"42",164,19,5,516,NA,NA,NA,1989,8,NA,NA,55.7659,7.999,3.9836,8.423,2.17,0,0,90.73,1.33,1.33,7.310850358,NA,"Isolated",0.097450682265678
"43",164,7,4,632,NA,NA,NA,1990,8,NA,NA,55.7659,7.999,3.9836,8.423,2.17,0,0,90.73,1.33,1.33,7.310850358,NA,"Isolated",0.097450682265678
"44",164,10,9,481,NA,NA,NA,1995,8,NA,NA,55.7659,7.999,3.9836,8.423,2.17,0,0,90.73,1.33,1.33,7.310850358,NA,"Isolated",0.097450682265678
"45",164,9,5,590,NA,NA,NA,1997,9,NA,NA,55.7659,7.999,3.9836,8.423,2.17,0,0,90.73,1.33,1.33,7.310850358,NA,"Isolated",0.097450682265678
"46",168,40,10,NA,NA,NA,NA,1981,9,740,NA,52.569,8.652,4.3834,7.8484,2.81,0.34,4.55,56.45,18.82,0.49,43.4043962,5,"DR_LakeStream",0.00643342785215026
"47",172,10,5,740,NA,NA,NA,1998,8,NA,NA,59.4603,8.9432,4.6191,5.3765,2.89,0.35,3.41,52.98,26.46,0.81,26.1395333,NA,"Isolated",0.0532602665687626
"48",180,40,50,NA,NA,NA,NA,1995,9,3730,NA,57.4458,11.4882,6.0092,5.6185,81.98,0,0,0.4,16.86,0.46,21.91041261,NA,"Isolated",0.138269345423758
"49",189,20,1200,NA,NA,NA,NA,1995,8,1250,NA,57.4458,11.4882,6.0092,5.6185,0,0,0,0,57.89,42.11,65.93522228,NA,"DR_LakeStream",34.7360425899082
"50",191,160,20,NA,NA,NA,NA,1981,7,880,NA,53.914,10.3948,5.4691,5.4447,27.17,0.55,9.95,39.8,10.68,1.06,20.73653774,7,"DR_LakeStream",0.0359976645634741
"51",191,680,10,NA,NA,NA,NA,1981,9,1960,NA,53.914,10.3948,5.4691,5.4447,27.17,0.55,9.95,39.8,10.68,1.06,20.73653774,7,"DR_LakeStream",0.0359976645634741
"52",191,140,10,NA,NA,NA,NA,1981,8,2240,NA,53.914,10.3948,5.4691,5.4447,27.17,0.55,9.95,39.8,10.68,1.06,20.73653774,7,"DR_LakeStream",0.0359976645634741
"53",191,130,10,NA,NA,NA,NA,1981,9,1650,NA,53.914,10.3948,5.4691,5.4447,27.17,0.55,9.95,39.8,10.68,1.06,20.73653774,7,"DR_LakeStream",0.0359976645634741
"54",191,170,10,NA,NA,NA,NA,1981,7,2030,NA,53.914,10.3948,5.4691,5.4447,27.17,0.55,9.95,39.8,10.68,1.06,20.73653774,7,"DR_LakeStream",0.0359976645634741
"55",197,50,30,NA,NA,NA,NA,1981,7,850,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"56",197,310,80,NA,NA,NA,NA,1987,7,1200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"57",197,500,20,NA,NA,NA,NA,1987,8,1400,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"58",197,310,20,NA,NA,NA,NA,1982,7,1800,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"59",197,10,20,NA,NA,NA,NA,1980,8,1200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"60",197,20,10,NA,NA,NA,NA,1981,8,4000,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"61",197,150,20,NA,NA,NA,NA,1983,7,900,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"62",197,40,20,NA,NA,NA,NA,1986,7,900,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"63",197,80,20,NA,NA,NA,NA,1986,9,800,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"64",197,260,20,NA,NA,NA,NA,1986,8,1200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"65",197,140,20,NA,NA,NA,NA,1982,8,2000,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"66",197,100,20,NA,NA,NA,NA,1982,9,2200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"67",197,10,10,NA,NA,NA,NA,1981,9,1800,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"68",197,50,20,NA,NA,NA,NA,1980,7,700,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"69",197,380,20,NA,NA,NA,NA,1987,9,1200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"70",197,20,10,NA,NA,NA,NA,1981,7,1100,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"71",197,890,50,NA,NA,NA,NA,1984,7,1300,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"72",197,160,30,NA,NA,NA,NA,1986,7,900,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"73",197,360,40,NA,NA,NA,NA,1984,8,1900,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"74",197,180,40,NA,NA,NA,NA,1986,8,1500,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"75",197,30,20,NA,NA,NA,NA,1983,7,1100,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"76",197,20,50,NA,NA,NA,NA,1983,8,1300,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"77",197,30,20,NA,NA,NA,NA,1982,8,1000,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"78",197,400,80,NA,NA,NA,NA,1983,9,1200,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"79",197,190,20,NA,NA,NA,NA,1982,7,1100,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"80",197,390,20,NA,NA,NA,NA,1983,8,1100,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"81",197,40,10,NA,NA,NA,NA,1981,8,1400,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"82",197,190,270,NA,NA,NA,NA,1984,8,1500,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"83",197,80,20,NA,NA,NA,NA,1984,8,1500,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"84",197,180,170,NA,NA,NA,NA,1984,9,1100,NA,53.914,10.3948,5.4691,5.4447,84.53,0,0,13.97,0.08,1.42,10.70456082,5.5,"DR_Stream",0.0942054794476304
"85",211,20,79,NA,NA,NA,NA,1990,8,420,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"86",211,2.5,240,NA,NA,NA,NA,1993,9,100,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"87",211,19,80,NA,NA,NA,NA,1993,8,210,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"88",211,37,80,NA,NA,NA,NA,1992,9,200,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"89",211,6,70,NA,NA,NA,NA,1992,8,120,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"90",211,20,127,NA,NA,NA,NA,1990,8,650,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"91",211,20,122,NA,NA,NA,NA,1990,8,260,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"92",211,20,109,NA,NA,NA,NA,1990,8,310,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"93",211,16,100,NA,NA,NA,NA,1992,8,240,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"94",211,20,122,NA,NA,NA,NA,1990,8,250,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"95",211,20,110,NA,NA,NA,NA,1990,8,560,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"96",211,11,147,NA,NA,NA,NA,1990,7,260,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"97",211,33,40,NA,NA,NA,NA,1993,8,370,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"98",211,20,20,NA,NA,NA,NA,1990,9,380,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"99",211,33,50,NA,NA,NA,NA,1992,7,200,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"100",211,9,80,NA,NA,NA,NA,1993,7,160,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"101",211,20,99,NA,NA,NA,NA,1990,8,400,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"102",211,10,520,NA,NA,NA,NA,1992,8,170,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"103",211,19,200,NA,NA,NA,NA,1992,8,230,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"104",211,20,108,NA,NA,NA,NA,1990,9,450,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"105",211,39,90,NA,NA,NA,NA,1992,8,540,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"106",211,24,152,NA,NA,NA,NA,1990,7,240,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"107",211,16,141,NA,NA,NA,NA,1990,9,350,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"108",211,20,13,NA,NA,NA,NA,1990,8,510,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"109",211,16,132,NA,NA,NA,NA,1990,9,400,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"110",211,36,50,NA,NA,NA,NA,1992,8,430,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"111",211,7,150,NA,NA,NA,NA,1993,7,180,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"112",211,20,10,NA,NA,NA,NA,1993,8,190,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"113",211,15,70,NA,NA,NA,NA,1993,7,240,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"114",211,11,102,NA,NA,NA,NA,1990,9,430,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"115",211,14,120,NA,NA,NA,NA,1993,8,190,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"116",211,16,180,NA,NA,NA,NA,1992,7,310,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"117",211,31,60,NA,NA,NA,NA,1992,9,240,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"118",211,16,9,NA,NA,NA,NA,1990,7,950,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"119",211,11,159,NA,NA,NA,NA,1990,9,360,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"120",211,20,20,NA,NA,NA,NA,1990,8,340,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"121",211,9,170,NA,NA,NA,NA,1992,9,120,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"122",211,20,20,NA,NA,NA,NA,1990,8,610,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"123",211,38,60,NA,NA,NA,NA,1993,7,190,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"124",211,20,146,NA,NA,NA,NA,1990,7,610,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"125",211,120,50,NA,NA,NA,NA,1992,8,450,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"126",211,43,100,NA,NA,NA,NA,1992,7,180,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"127",211,35,50,NA,NA,NA,NA,1992,7,310,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"128",211,12,130,NA,NA,NA,NA,1992,7,170,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"129",211,10,70,NA,NA,NA,NA,1992,9,170,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"130",211,11,90,NA,NA,NA,NA,1992,9,310,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"131",211,10,50,NA,NA,NA,NA,1993,8,180,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"132",211,16,137,NA,NA,NA,NA,1990,7,430,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"133",211,37,28,NA,NA,NA,NA,1990,9,520,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"134",211,10,157,NA,NA,NA,NA,1990,7,420,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"135",211,24,150,NA,NA,NA,NA,1992,7,160,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"136",211,17,80,NA,NA,NA,NA,1993,9,220,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"137",211,14,100,NA,NA,NA,NA,1992,7,120,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"138",211,20,60,NA,NA,NA,NA,1993,9,130,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"139",211,28,170,NA,NA,NA,NA,1992,7,170,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"140",211,7,25,NA,NA,NA,NA,1992,9,270,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
"141",211,13,60,NA,NA,NA,NA,1993,8,140,NA,48.9907,12.9903,4.5675,18.33,NA,NA,NA,NA,NA,NA,113496.4045,97,"DR_LakeStream",0.0792029413440192
